id,request_id,volunteer_id,elderly_id,accepted,matched_at,distance_km,skill_match,response_rate,time_match,urgency_factor,match_score,urgency
HM1,CR001,V001,E001,FALSE,2025-03-20T11:37:47Z,5.756074682032221,0.3333333333333333,0.69,1,1.2,0.4056683480087693,High
HM2,CR001,V002,E001,TRUE,2025-03-21T02:21:07Z,1.0352478041032602,0.5,0.58,0,1.2,0.5682193321183111,High
HM3,CR001,V003,E001,TRUE,2025-03-30T10:21:20Z,2.109099046548329,0.5,0.73,0.5,1.2,0.663552322360795,High
HM4,CR001,V004,E001,TRUE,2025-04-10T21:24:15Z,4.392930738805599,0.5,0.44,1,1.2,0.6204164501722215,High
HM5,CR001,V005,E001,FALSE,2025-03-30T02:08:06Z,0.7859969908315022,0.3333333333333333,0.97,0.5,1.2,0.6591949412372218,High
HM6,CR001,V006,E001,FALSE,2025-03-27T16:19:41Z,4.945934351120525,0.16666666666666666,0.37,0,1.2,0.3645753689571201,High
HM7,CR001,V007,E001,FALSE,2025-03-22T05:27:49Z,1.0798486445963633,0.3333333333333333,0.85,0.5,1.2,0.6367202772626201,High
HM8,CR001,V008,E001,FALSE,2025-04-07T00:12:51Z,4.229144615644877,0.3333333333333333,0.47,0,1.2,0.4622695700157198,High
HM9,CR001,V009,E001,TRUE,2025-04-12T22:10:47Z,3.135773217030195,0,0.51,0.5,1.2,0.3072720053678371,High
HM10,CR001,V010,E001,TRUE,2025-03-26T16:18:21Z,4.798582475991141,0.5,0.76,0.5,1.2,0.48052696264656275,High
HM11,CR001,V011,E001,FALSE,2025-04-01T20:02:21Z,2.1698091985945576,0.2857142857142857,0.92,0.5,1.2,0.5481406743505809,High
HM12,CR001,V012,E001,FALSE,2025-03-23T08:41:14Z,3.698143486052046,0.16666666666666666,0.34,1,1.2,0.3639831211565723,High
HM13,CR001,V013,E001,FALSE,2025-03-28T17:31:35Z,1.495102930706807,0.16666666666666666,0.69,1,1.2,0.5356619160186601,High
HM14,CR001,V014,E001,FALSE,2025-03-19T01:29:11Z,1.4486682730821707,0.3333333333333333,0.61,1,1.2,0.6219025270314371,High
HM15,CR001,V015,E001,FALSE,2025-04-06T00:15:55Z,0.9206927986989616,0.5,0.39,1,1.2,0.635506486213894,High
HM16,CR001,V016,E001,FALSE,2025-04-15T03:58:52Z,2.110050670969256,0.2857142857142857,0.7,0.5,1.2,0.5718233962708027,High
HM17,CR001,V017,E001,FALSE,2025-04-14T00:32:20Z,2.635711658571031,0.3333333333333333,0.4,1,1.2,0.5525092181355403,High
HM18,CR001,V018,E001,FALSE,2025-03-25T21:46:02Z,1.27102542136387,0.16666666666666666,0.63,1,1.2,0.5340039549114111,High
HM19,CR001,V019,E001,FALSE,2025-04-08T12:52:44Z,2.9055511325912664,0.5,0.47,0.5,1.2,0.5098976400342493,High
HM20,CR001,V020,E001,FALSE,2025-04-09T06:18:01Z,2.483987697435199,0.2857142857142857,0.52,0.5,1.2,0.4536401282502435,High
HM21,CR001,V021,E001,FALSE,2025-03-29T02:51:10Z,1.6102082502007096,0.3333333333333333,0.55,0.5,1.2,0.519016029477916,High
HM22,CR001,V022,E001,FALSE,2025-04-06T07:12:02Z,1.8935381578677746,0.16666666666666666,0.76,1,1.2,0.5749696322543334,High
HM23,CR001,V023,E001,TRUE,2025-03-23T19:26:57Z,3.65947207516077,0.14285714285714285,0.41,0.5,1.2,0.3202441459815908,High
HM24,CR001,V024,E001,FALSE,2025-03-28T19:55:19Z,4.436381097473027,0.2,0.65,0,1.2,0.4076219746736994,High
HM25,CR001,V025,E001,FALSE,2025-03-31T07:59:52Z,0.4684576133605554,0.4,0.5,0.5,1.2,0.5991894396916796,High
HM26,CR001,V026,E001,FALSE,2025-03-31T02:28:58Z,3.200959961262328,0.16666666666666666,0.5,0,1.2,0.3189300530699438,High
HM27,CR001,V027,E001,FALSE,2025-04-05T16:32:29Z,3.878571949159337,0.2857142857142857,0.69,0.5,1.2,0.5127802077666527,High
HM28,CR001,V028,E001,FALSE,2025-04-10T05:23:15Z,3.5534882100114453,0,0.48,1,1.2,0.4139964259228128,High
HM29,CR001,V029,E001,FALSE,2025-04-13T13:35:54Z,5.253560267480482,0.16666666666666666,0.5,0.5,1.2,0.4358426625515824,High
HM30,CR001,V030,E001,TRUE,2025-03-24T04:44:57Z,2.142877563982247,0.4,0.6,0.5,1.2,0.5805489792927174,High
HM31,CR001,V031,E001,FALSE,2025-04-02T19:16:54Z,4.174156494030048,0.5,0.37,0.5,1.2,0.5597822077841531,High
